item_type_id,item_name,image_url,rarity_level,focus_cost_min,description
20,Our Decoration,https://example.com/images/our_decoration.png,common,387,Executive store bed leg
14,Focus Structure,https://example.com/images/focus_structure.png,common,75,Wait follow the community nation resource test
4,Push Bush,https://example.com/images/push_bush.png,common,274,Drop number use sense building number almost drug
22,Themselves Light Fixture,https://example.com/images/themselves_light_fixture.png,common,128,Laugh as clear strong
23,Court Vehicle,https://example.com/images/court_vehicle.png,common,391,Line section body
6,Carry Water Feature,https://example.com/images/carry_water_feature.png,common,243,Power in reason everything
25,Thank Other,https://example.com/images/thank_other.png,common,100,Today figure certain building
22,Step Light Fixture,https://example.com/images/step_light_fixture.png,common,472,Statement situation by in letter none program both
18,Blue Pathway,https://example.com/images/blue_pathway.png,common,142,All southern seven young enter area
17,Age Floor,https://example.com/images/age_floor.png,common,222,Less look through shake produce interest site
3,Who Tree,https://example.com/images/who_tree.png,common,287,What travel take season
5,Maybe Rock,https://example.com/images/maybe_rock.png,rare,370,Sport need former plan occur avoid hand
17,Understand Floor,https://example.com/images/understand_floor.png,rare,278,Heart effort my movie think score indicate smile
15,Lawyer Bridge,https://example.com/images/lawyer_bridge.png,common,369,Area movie fear job prepare picture
8,Machine Pet,https://example.com/images/machine_pet.png,common,156,Some report group fire yes
9,Design Bird,https://example.com/images/design_bird.png,common,194,Where fast system serious though report
11,Spend House,https://example.com/images/spend_house.png,common,127,Whatever west enough
25,Front Other,https://example.com/images/front_other.png,rare,89,Same resource sell score yard at
16,Wonder Tower,https://example.com/images/wonder_tower.png,rare,201,Policy likely check response
14,Now Structure,https://example.com/images/now_structure.png,common,236,Well thus force return fish
19,Happen Furniture,https://example.com/images/happen_furniture.png,common,131,Available condition card health other forget check
13,May Building,https://example.com/images/may_building.png,rare,65,Clear establish art reveal return
16,Tonight Tower,https://example.com/images/tonight_tower.png,rare,344,Work early entire sell
22,Forward Light Fixture,https://example.com/images/forward_light_fixture.png,epic,404,Lose require friend her
13,Feel Building,https://example.com/images/feel_building.png,epic,63,Father hope outside some itself hair true method
13,We Building,https://example.com/images/we_building.png,epic,212,Continue although without
12,Economic Apartment,https://example.com/images/economic_apartment.png,common,479,Thought someone very red similar bank
22,Community Light Fixture,https://example.com/images/community_light_fixture.png,common,73,Future town mind team green common
3,Force Tree,https://example.com/images/force_tree.png,common,283,Change executive bit rock skill blue
12,Address Apartment,https://example.com/images/address_apartment.png,common,482,Son without arrive choose radio game
4,But Bush,https://example.com/images/but_bush.png,common,474,Visit firm never music
7,Action Animal,https://example.com/images/action_animal.png,common,116,Authority some theory father become
6,State Water Feature,https://example.com/images/state_water_feature.png,rare,440,Truth bring him himself natural
3,Dark Tree,https://example.com/images/dark_tree.png,common,107,Land ago give personal sit
12,Receive Apartment,https://example.com/images/receive_apartment.png,rare,381,Very that available bar
25,Radio Other,https://example.com/images/radio_other.png,common,110,Action turn dog follow
4,Myself Bush,https://example.com/images/myself_bush.png,common,148,Keep nation such light tree
21,Husband Wall Ornament,https://example.com/images/husband_wall_ornament.png,legendary,367,Less sport adult indicate someone chair unit
9,Have Bird,https://example.com/images/have_bird.png,epic,449,Across will unit he loss art
2,Agree Flower,https://example.com/images/agree_flower.png,common,482,Wear true finish worker how once
17,Develop Floor,https://example.com/images/develop_floor.png,rare,290,Total join local Mrs sport watch open
12,Phone Apartment,https://example.com/images/phone_apartment.png,rare,361,Past industry around which list boy vote
18,Left Pathway,https://example.com/images/left_pathway.png,rare,477,Boy investment field
1,Budget Plant,https://example.com/images/budget_plant.png,common,212,About which thank
18,Share Pathway,https://example.com/images/share_pathway.png,common,213,Brother simply young
11,Drive House,https://example.com/images/drive_house.png,rare,409,Bar physical factor growth let mother natural argue
19,Thus Furniture,https://example.com/images/thus_furniture.png,common,70,Total myself level wait unit usually market
6,Church Water Feature,https://example.com/images/church_water_feature.png,common,231,Behind back staff occur
16,Individual Tower,https://example.com/images/individual_tower.png,epic,322,Up finish policy daughter development century onto those
22,Million Light Fixture,https://example.com/images/million_light_fixture.png,common,149,Street because seek company
5,Nature Rock,https://example.com/images/nature_rock.png,common,230,Rule admit professional land
16,Around Tower,https://example.com/images/around_tower.png,common,420,Trade learn another
4,Cold Bush,https://example.com/images/cold_bush.png,common,306,Part professional second audience structure
21,Game Wall Ornament,https://example.com/images/game_wall_ornament.png,common,420,Simple car training military message party
24,Like Accessory,https://example.com/images/like_accessory.png,common,105,Around simply short level effort maintain outside
10,Include Insect,https://example.com/images/include_insect.png,common,403,While simple important water available work budget
2,Girl Flower,https://example.com/images/girl_flower.png,common,102,Save stop interesting great loss
23,Growth Vehicle,https://example.com/images/growth_vehicle.png,rare,385,Company usually score set power state
10,Number Insect,https://example.com/images/number_insect.png,common,336,Resource across happy stage money true
13,Many Building,https://example.com/images/many_building.png,common,151,While administration benefit popular blood true effort but
25,Ask Other,https://example.com/images/ask_other.png,legendary,403,Western call vote leader
25,Place Other,https://example.com/images/place_other.png,common,185,True dinner become public should short real star
14,Economic Structure,https://example.com/images/economic_structure.png,rare,176,Reach region item song camera history
9,Program Bird,https://example.com/images/program_bird.png,rare,217,History such end writer family
23,Study Vehicle,https://example.com/images/study_vehicle.png,common,409,Nation nature discussion final music become leader
12,Art Apartment,https://example.com/images/art_apartment.png,rare,81,Information ten adult charge
22,Blue Light Fixture,https://example.com/images/blue_light_fixture.png,common,308,Tv finally resource event often
17,Blood Floor,https://example.com/images/blood_floor.png,epic,408,Growth husband game work laugh
8,Else Pet,https://example.com/images/else_pet.png,common,401,Tv movie poor son bank beat
5,Nature Rock,https://example.com/images/nature_rock.png,common,167,Also fund American fund
8,Far Pet,https://example.com/images/far_pet.png,common,170,Audience worker management chance idea
19,Even Furniture,https://example.com/images/even_furniture.png,rare,438,Enter national political score
13,Career Building,https://example.com/images/career_building.png,rare,196,Fact ability task term month face citizen family
12,Son Apartment,https://example.com/images/son_apartment.png,common,188,Value bring laugh produce finish figure
20,Author Decoration,https://example.com/images/author_decoration.png,common,300,May year tax something street production hot
22,Natural Light Fixture,https://example.com/images/natural_light_fixture.png,legendary,489,Evidence affect specific Congress door
16,Child Tower,https://example.com/images/child_tower.png,rare,255,Apply try color
19,Project Furniture,https://example.com/images/project_furniture.png,epic,119,Recent star he machine example score current
18,Policy Pathway,https://example.com/images/policy_pathway.png,rare,211,War human soon ever
19,Power Furniture,https://example.com/images/power_furniture.png,common,173,Or year each along
20,Describe Decoration,https://example.com/images/describe_decoration.png,common,443,Green western night rich reason woman likely pay
8,Paper Pet,https://example.com/images/paper_pet.png,common,171,Strategy new good story issue red husband
14,Even Structure,https://example.com/images/even_structure.png,rare,255,Oil thousand significant specific floor anything
9,Not Bird,https://example.com/images/not_bird.png,common,142,Do everyone compare over support over
7,Situation Animal,https://example.com/images/situation_animal.png,common,449,Through possible around parent
16,Place Tower,https://example.com/images/place_tower.png,rare,257,Him budget understand reveal bag hope pay
14,Rate Structure,https://example.com/images/rate_structure.png,common,422,Person young financial
12,Ok Apartment,https://example.com/images/ok_apartment.png,common,108,Political they doctor special anything sport
3,Particularly Tree,https://example.com/images/particularly_tree.png,rare,484,Make form magazine remember
18,Nothing Pathway,https://example.com/images/nothing_pathway.png,common,272,Get although fall step lot
17,Door Floor,https://example.com/images/door_floor.png,common,498,Deal present news lay forget war
7,Officer Animal,https://example.com/images/officer_animal.png,common,177,Imagine hair determine know issue
18,Popular Pathway,https://example.com/images/popular_pathway.png,common,494,Mission population city sea agent finish impact
19,Major Furniture,https://example.com/images/major_furniture.png,common,357,Address near eat information condition
17,Attention Floor,https://example.com/images/attention_floor.png,rare,151,Drive professional vote partner lawyer others
8,Range Pet,https://example.com/images/range_pet.png,common,420,Likely garden southern
9,Become Bird,https://example.com/images/become_bird.png,common,380,Strategy decide poor remember capital home billion
13,Price Building,https://example.com/images/price_building.png,common,87,Authority perhaps someone at
12,Democrat Apartment,https://example.com/images/democrat_apartment.png,rare,180,Ability generation small debate
25,Ball Other,https://example.com/images/ball_other.png,common,457,A response blue candidate lose rock bank
